route_id,airline,origin_iata,destination_iata,origin_airport,destination_airport,origin_city,destination_city,origin_country,destination_country,origin_latitude,origin_longitude,destination_latitude,destination_longitude,region,distance_km,route_type,summer_2026_status,route_scope,data_note
QR-DOH-PVG,Qatar Airways,DOH,PVG,Hamad International Airport,Shanghai Pudong International Airport,Doha,Shanghai (Pudong),QA,CN,25.273056,51.608056,31.1434,121.805,Asia-Pacific,6796,Long-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-PZU,Qatar Airways,DOH,PZU,Hamad International Airport,Port Sudan New International Airport,Doha,Port Sudan,QA,SD,25.273056,51.608056,19.434558,37.234125,Africa,1613,Short-haul,Returning / announced (2026-07-02),Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-RAK,Qatar Airways,DOH,RAK,Hamad International Airport,Marrakesh Menara Airport,Doha,Marrakesh,QA,MA,25.273056,51.608056,31.604807,-8.035788,Africa,5804,Medium-haul,Returning / announced (2026-06-16),Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-RSI,Qatar Airways,DOH,RSI,Hamad International Airport,Red Sea International Airport,Doha,Hanak,QA,SA,25.273056,51.608056,25.627975,37.088914,Middle East,1458,Short-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-RUH,Qatar Airways,DOH,RUH,Hamad International Airport,King Khalid International Airport,Doha,Riyadh,QA,SA,25.273056,51.608056,24.9576,46.698799,Middle East,495,Short-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-SEA,Qatar Airways,DOH,SEA,Hamad International Airport,Seattle–Tacoma International Airport,Doha,Seattle,QA,US,25.273056,51.608056,47.447943,-122.310276,Americas,11906,Long-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-SEZ,Qatar Airways,DOH,SEZ,Hamad International Airport,Seychelles International Airport,Doha,Victoria,QA,SC,25.273056,51.608056,-4.67434,55.521801,Africa,3357,Medium-haul,Returning / announced (2026-06-16),Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-SFO,Qatar Airways,DOH,SFO,Hamad International Airport,San Francisco International Airport,Doha,San Francisco,QA,US,25.273056,51.608056,37.619806,-122.374821,Americas,12994,Ultra-long-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-SGN,Qatar Airways,DOH,SGN,Hamad International Airport,Tan Son Nhat International Airport,Doha,Ho Chi Minh City,QA,VN,25.273056,51.608056,10.8188,106.652,Asia-Pacific,5995,Medium-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-SIN,Qatar Airways,DOH,SIN,Hamad International Airport,Singapore Changi Airport,Doha,Singapore,QA,SG,25.273056,51.608056,1.35019,103.994003,Asia-Pacific,6207,Long-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-SJJ,Qatar Airways,DOH,SJJ,Hamad International Airport,Sarajevo International Airport,Doha,Sarajevo,QA,BA,25.273056,51.608056,43.8246,18.331499,Europe,3641,Medium-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-SKT,Qatar Airways,DOH,SKT,Hamad International Airport,Sialkot International Airport,Doha,Sialkot,QA,PK,25.273056,51.608056,32.535941,74.364623,Asia-Pacific,2352,Short-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-SLL,Qatar Airways,DOH,SLL,Hamad International Airport,Salalah International Airport,Doha,Salalah,QA,OM,25.273056,51.608056,17.0387,54.091301,Middle East,951,Short-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-SVO,Qatar Airways,DOH,SVO,Hamad International Airport,Sheremetyevo International Airport,Doha,Moscow,QA,RU,25.273056,51.608056,55.976858,37.41121,Europe,3602,Medium-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-SYD,Qatar Airways,DOH,SYD,Hamad International Airport,Sydney Kingsford Smith International Airport,Doha,Sydney (Mascot),QA,AU,25.273056,51.608056,-33.946098,151.177002,Asia-Pacific,12375,Ultra-long-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
